"","cover","quantile_50","quantile_5","quantile_95","time"
"1","Evergreen needleleaf forest",7.16,4.74,9.48,"annual"
"2","Evergreen broadleaf forest",10.61,5.37,15.02,"annual"
"3","Deciduous needleleaf forest",6.25,4.81,7.12,"annual"
"4","Deciduous broadleaf forest",5.7,3.67,8.37,"annual"
"5","Mixed forest",6.91,4.38,9.05,"annual"
"6","Shrubland",2.5,0.6,6.84,"annual"
"7","Savanna",3.62,1.8,7.07,"annual"
"8","Grassland",1.49,0.51,4.09,"annual"
"9","Cropland",2.46,1.38,5.2,"annual"
